"%s already exist","%s已存在"
"%s already exists","%s已存在"
"-- Please Select --","-- 请选择 --"
"Add Block Names to Hints","在提示信息中增加区块名称"
"Add Secret Key to URLs","Add Secret Key to URLs"
"Add Store Code to Urls","网址中加入商店码"
"Admin","管理员选项"
"Admin Base URL","管理基准 URL"
"Admin User Emails","管理用户邮件"
"Advanced","高级"
"Allow countries","允许国家"
"Allowed IPs (comma separated)","允许的IP地址（多个记录用逗号分开）"
"Are you sure?","您确认吗？"
"Back","返回"
"Backup options","备份选项"
"Base JavaScript URL","基准 JavaScript 网址"
"Base Link URL","基准链接网址"
"Base Media URL","基准媒体网址"
"Base Skin URL","基准皮肤网址"
"Base URL","基准网址"
"Before modifying the store view code please make sure that it is not used in index.php","在修改商店界面代码前，请确认没有在index.php中使用"
"Before modifying the website code please make sure that it is not used in index.php","在修改网站代码前，请确认没有在index.php中使用"
"Block with name ""%s"" already exists","方框""%s""已存在"
"Blocks HTML output","区块 HTML 输出"
"Can't retrieve request object","无法获取请求的对象"
"Can't retrieve entity config: %s","无法获取实体配置：%s"
"Cancel","取消"
"Cannot Delete Email Template","不能删除电子邮件模板"
"Cannot complete this operation from non-admin area.","无法在非管理区完成此操作。"
"Category object is required for determining product request path","确定商品请求路径需要分类对象"
"Code","代码"
"Collections Data","集合(Collections)数据"
"Configuration","配置"
"Controller file was loaded but class does not exist","控制文件已加载但类不存在"
"Cookie Domain","Cookie 域"
"Cookie Lifetime","Cookie 时效"
"Cookie Path","Cookie 路径"
"Copyright","版权信息"
"Countries options","国家选项"
"Create Store","新建商店"
"Create Store View","新建商店界面"
"Create Website","新建网站"
"Current package name","当前安装包名称"
"Custom Design","客户定制"
"Custom admin URL","自定义管理 URL"
"Custom email 1","自定义邮件一"
"Custom email 2","自定义邮件二"
"Customer support","客户服务"
"Date From","开始日期"
"Date To","结束日期"
"Date/time format ""%s"" is not supported.","不支持日期/时间格式 ""%s""."
"Debug","调试"
"Default","缺省"
"Default Description","默认描述"
"Default Keywords","默认关键字"
"Default Pages","缺省页面"
"Default Robots","默认机器人设置"
"Default Store","缺省商店"
"Default Store View","缺省商店界面"
"Default Title","默认标题"
"Default country","缺省国家"
"Default no-route url","缺省缺失的页面"
"Default web url","缺省网址"
"Delete","删除"
"Delete Store","删除商店"
"Delete Store View","删除商店界面"
"Delete Website","删除网站"
"Deleting a %1$s will not delete the information associated with the %1$s (e.g. categories, products, etc.), but the %1$s will not be able to be restored. It is suggested that you create a database backup before deleting the %1$s.","删除 %1$s不会删除与  %1$s相关的信息（例如类别，商品等），但是%1$s被删除后无法恢复。建议删除%1$s之前先生成一个数据库备份。"
"Design","设计"
"Design Change","界面设计"
"Developer","开发者"
"Developer Client Restrictions","开发者客户端限制"
"Disable email communications","禁用电子邮件"
"Disable modules output","模块输出"
"Duplicate Of Template Code","模板代码重复"
"Edit Design Change","修改界面设计"
"Edit Store","修改商店"
"Edit Store View","修改商店界面"
"Edit Website","修改网站"
"Empty identifier field name","标识字段名为空"
"Empty main table name","主数据表名为空"
"Enabled","启用"
"Enabled for Admin","在管理界面中启用"
"Enabled for Frontend","在前台启用"
"Error in file: ""%s"" - %s","文件：""%s"" - %s 错误"
"Error while saving. Please try again later.","保存时出错，请稍后再试。"
"Error: Passwords do not match","错误：两次密码输入不一致。"
"Exceptions Log File Name","异常日志文件名"
"First Day of Week","周起始日"
"Footer","页脚"
"Forgot Password Email Sender","忘记密码的电子邮件发件人"
"Forgot Password Email Template","忘记密码的电子邮件模板"
"General","基本"
"General Settings","基本设置"
"General contact","联系人"
"Global","全站"
"HTML Head","HTML 头信息"
"Header","页眉"
"Host","主机"
"Id path for specified store","指定商店的编号路径"
"Incorrect credit card expiration date","信用卡失效日期有误"
"Invalid base url type","基准网址类型无效"
"Invalid block name to set child %s: %s","设置 %s: %s 的方框名不正确"
"Invalid block type: %s","方框类型不正确：%s"
"Invalid block: %s","方框不正确：%s"
"Invalid layout update argument, expected Mage_Core_Model_Layout_Element","版面更新参数不正确，必须是 Mage_Core_Model_Layout_Element"
"Invalid layout update handle","版面更新句柄不正确"
"Invalid messages storage ""%s"" for layout messages initialization","版面初始信息的""%s""信息存储不正确"
"Invalid transactional email code: ","交易邮件代码不正确："
"Invalid websites configuration path: %s","网站配置路径不正确：%s"
"Layout","布局"
"Layouts","布局"
"Leave empty for access from any location","放空则允许从任何位置访问"
"Locale","语言"
"Locale options","本地化选项"
"Log Settings","日志选项"
"Logging from Mage::log(). File is located in�{{base_dir}}/var/log","来自 Mage::log() 的日志。文件位于 {{base_dir}}/var/log"
"Logging from Mage::logException(). File is located in�{{base_dir}}/var/log","来自 Mage::logException() 的日志。文件位于  {{base_dir}}/var/log"
"Logo Image Alt","Logo 替代文字"
"Logo Image Src","Logo 图片源"
"Manage Stores","管理商店"
"Match expressions in the same order as displayed in the configuration.","以配置界面显示顺序匹配表达式。"
"Miscellaneous HTML","自定义 HTML"
"Miscellaneous scripts","各种脚本"
"Model class does not exist: %s","型号类不存在：%s"
"Model collection resource name is not defined","型号组合资源名未定义"
"Module ""%1$s"" can not be depended from ""%2$s""","模块""%1$s""不能依""%2$s""而定"
"Module ""%1$s"" requires module ""%2$s""","Module ""%1$s"" requires module ""%2$s"""
"Name","名称"
"New Design Change","新界面设计"
"New Store","新商店"
"New Store View","新商店界面"
"New Website","新网站"
"No","No"
"Package","安装包"
"Please choose to register or to checkout as a guest","请选择注册或者以访客身份注册。"
"Please define flag code.","请定义标志代码"
"Please enter 6 or more characters.","请输入6个或更多字符。"
"Please enter 6 or more characters. Leading or trailing spaces will be ignored.","请输入6个或更多字符，前后空格将被忽略。"
"Please enter a number greater than 0 in this field.","请在该栏输入0以上数字。"
"Please enter a valid $ amount. For example $100.00.","请输入正确的金额。例如，$100.00"
"Please enter a valid URL. For example http://www.example.com or www.example.com","请输入正确的网址。例如 http://www.example.com 或 www.example.com"
"Please enter a valid URL. http:// is required","请输入正确的网址，要带 http:// "
"Please enter a valid credit card number.","请输入正确的信用卡号码。"
"Please enter a valid date.","请输入正确的日期。"
"Please enter a valid email address. For example johndoe@domain.com.","请输入正确的电子邮件地址。例如 johndoe@domain.com"
"Please enter a valid number in this field.","请在该栏目输入正确的数字。"
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","请输入电话号码。例如 (123) 456-7890 或 123-456-7890."
"Please enter a valid social security number. For example 123-45-6789.","请输入正确的社会保险号。例如 123-45-6789"
"Please enter a valid zip code.","请输入正确的邮编。"
"Please enter a valid zip code. For example 90602 or 90602-1234.","请输入正确的邮编。例如 90602 或 90602-1234"
"Please enter valid password.","请输入正确的密码。"
"Please make sure that Base URL ends with '/' (slash), e.g. http://yourdomain/magento/","请确保 URL 以斜杠 ""/"" 结束，例如：http://yourdomain/magento/"
"Please make sure your passwords match.","请确认密码一致。"
"Please select State/Province.","请选择省份。"
"Please select an option.","请选择。"
"Please select one of the above options.","请在上面选择。"
"Please select one of the options.","请选择。"
"Please specify payment method.","请指定支付方式。"
"Please specify shipping method.","请指定配送方法。"
"Please use letters only (a-z or A-Z) in this field.","请使用字母 (a-z 或 A-Z) 填写此栏。"
"Please use letters only (a-z) in this field.","请在该栏目中仅输入字母(a-z)。"
"Please use numbers only in this field. please avoid spaces or other characters such as dots or commas.","请在该栏目中仅使用数字，不要输入空格或点等字符。"
"Please use only letters (a-z) or numbers (0-9) only in this field. No spaces or other characters are allowed.","请在该栏目中仅使用字母(a-z)或数字(0-9)，不要输入空格或其它字符。"
"Please use only letters (a-z) or numbers (0-9) or spaces and # only in this field.","请在该栏目中仅使用字母(a-z)、数字(0-9)、空格或 #"
"Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","请在该栏目中仅使用字母(a-z)、数字(0-9)、下划线(_)，第一个字符必须为字母。"
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","请使用日期格式：dd/mm/yyyy，例如 17/03/2006 表示 2006年3月17日"
"Please wait, loading...","请稍候，加载中..."
"Polls","投票"
"Port (25)","端口 (25)"
"Profiler","配置器"
"Prototype Deprecation Log","Prototype Deprecation 日志"
"Request path for specified store","需要输入商店的路径"
"Requested invalid store ""%s""","请求的商店""%s""有误"
"Resource is not set","资源未设置"
"Root Category","根分类"
"SMTP settings (Windows server only)","SMTP 设置（仅限 Windows 主机）"
"Sales representative","业务代表"
"Save","保存"
"Save Store","保存商店"
"Save Store View","保存商店界面"
"Save Website","保存网站"
"Search Engines Optimization","搜索引擎优化"
"Secure","安全"
"Security","Security"
"Select Date","选择日期"
"Sender email","发件人地址"
"Sender name","发件人姓名"
"Services","服务"
"Session Cookie management","Session Cookie 管理"
"Session Lifetime, Seconds","Session Lifetime, Seconds"
"Session Validation Settings","Session 检验设置"
"Set as default","设为默认"
"Skin (Images / CSS)","皮肤 (图像/CSS)"
"Sort order","排序"
"Specified date/time ""%1$s"" do not match format ""%2$s"".","指定的日期/时间 ""%1$s"" 与格式 ""%2$s"" 不符。"
"Specify either category or product, or both.","指定分类或商品，或两者。"
"Start date can't be greater than end date","开始日期不能大于结束日期"
"Startup page","起始页"
"Status","状态"
"Store","商店"
"Store Email Addresses","商店电子邮件地址"
"Store Information","商店信息"
"Store Name","商店名称"
"Store View","商店界面"
"Store View Information","商店界面信息"
"Store View Name","商店界面名称"
"Store View was successfully saved","成功保存商店界面"
"Store code should contain only letters (a-z), numbers (0-9) or underscore(_), first character should be a letter","商店代码只能含字母(a-z)、数字(0-9)或下划线(_)，第一个字符必须是字母"
"Store doesn't exist","商店记录不存在"
"Store view doesn't exist","商店视图不存在"
"Store view was successfully deleted.","成功删除商店视图。"
"Store was successfully deleted.","成功删除商店。"
"Store was successfully saved","成功保存商店"
